0	5	10	15	20	25	30	35	40	45	50	55	60	65	70	75	80
0.005442	0.000218	0.000131	0.000165	0.000268	0.000325	0.000433	0.000537	0.000775	0.001247	0.002037	0.002879	0.005083	0.007326	0.01207	0.020805	0.03833
0.005646	0.000263	9.60E-05	0.00017	0.000243	0.000258	0.000416	0.000523	0.000812	0.00129	0.001953	0.002975	0.004881	0.007648	0.012111	0.020059	0.037352
0.004669	0.000183	0.000126	0.000137	0.00023	0.000303	0.000315	0.000498	0.000687	0.001174	0.002008	0.003047	0.004611	0.00759	0.01226	0.020259	0.036647
0.004102	0.000216	0.00013	0.000137	0.000268	0.000327	0.000349	0.000532	0.000729	0.001068	0.001952	0.002822	0.00457	0.007306	0.012097	0.020122	0.036847
0.003902	0.000159	8.30E-05	0.000124	0.000198	0.000245	0.000377	0.000431	0.000815	0.001128	0.001981	0.003012	0.004503	0.007204	0.011034	0.019016	0.033427
0.003412	0.000148	9.00E-05	9.90E-05	0.000229	0.000287	0.000329	0.00047	0.000626	0.001113	0.00182	0.002935	0.004303	0.007274	0.011382	0.0186	0.034525
0.003583	0.000149	0.000101	0.000106	0.000191	0.000271	0.000312	0.000457	0.000619	0.000986	0.00183	0.002947	0.004471	0.006885	0.011063	0.019315	0.033343
0.003054	0.000199	7.50E-05	0.000124	0.000245	0.000311	0.00026	0.000454	0.000613	0.001021	0.001599	0.002854	0.004184	0.006594	0.010683	0.01884	0.032367
0.002985	0.000133	8.40E-05	0.000151	0.000261	0.000275	0.000239	0.000369	0.000682	0.001061	0.001646	0.002678	0.004258	0.006804	0.01071	0.017865	0.032486
0.002619	0.000152	0.000111	9.30E-05	0.000199	0.00024	0.000295	0.000373	0.000571	0.00114	0.00177	0.002616	0.004131	0.006724	0.010777	0.017834	0.032978
0.002826	0.000115	9.30E-05	0.000129	0.000231	0.000248	0.000257	0.000281	0.000656	0.000936	0.001698	0.002726	0.004496	0.006837	0.010473	0.017527	0.031809
0.00328	0.000185	9.70E-05	0.000117	0.000204	0.000213	0.000236	0.000334	0.000531	0.000869	0.001703	0.002777	0.00435	0.006196	0.010772	0.017794	0.0316
0.003091	0.000129	7.60E-05	8.70E-05	0.000251	0.000252	0.000276	0.000364	0.000527	0.000871	0.00162	0.002485	0.004299	0.006263	0.010538	0.017794	0.031611
